atom,charge
C,-0.2564317877
C,0.438432896825
O,-0.4768399427875
H,0.0611635974875
H,0.0611635974875
H,-0.0511279605375
H,-0.0511279605375
C,0.16846753325
C,0.2575243942875
O,-0.50955335905
H,0.0188497055875
H,0.0188497055875
H,0.0026897589250000015
H,0.0026897589250000015
C,0.2467029052625
C,0.1812538923
O,-0.4192937786125
H,-0.0011016921499999994
H,-0.0011016921499999994
H,0.0275656112125
H,0.0275656112125
C,0.126806272625
C,0.1450143416625
O,-0.4131694563
H,0.034978088875
H,0.034978088875
H,0.0284943645875
H,0.0284943645875
C,0.11465827675000001
C,0.15732994906249997
O,-0.4343658129
H,0.040809354075
H,0.040809354075
H,0.0363089327
H,0.0363089327
C,0.2619357692875
C,0.011996191224999998
O,-0.3359138223375
H,0.00212329035
H,0.00212329035
H,0.050790996500000005
H,0.050790996500000005
H,0.0611635974875
C,0.0345062109125
H,0.0455625445375
H,0.0455625445375
H,0.0455625445375
